"1_Mot"	"2_Phono"	"3_Phono_IPA"	"4_Lemme"	"5_Cgram"	"6_CgramOrtho"	"7_Genre"	"8_Nombre"	"9_InfoVER"	"10_FreqMot"	"11_FreqOrtho"	"12_FreqLemme"	"13_CDOrtho"	"14_IsLem"	"15_NbLettres"	"16_NbPhons"	"17_OLD20"	"18_PLD20"	"19_CVOrtho"	"20_CVPhono"	"21_VoisOrtho"	"22_VoisPhono"	"23_NbHomog"	"24_NbHomoph"	"25_SyllPhono"	"26_SyllNb"	"27_SyllCV"	"28_PUOrtho"	"29_PUPhon"	"30_MorphoBase"	"31_MorphoStruct"	"32_MorphoDecomp"	"33_Preval"	"34_PrevalNb"	"35_RT_FLP"	"36_zRT_FLP"	"37_Err_FLP"
ce	s2	sø	ce	PRO:dem	PRO:dem,ADJ:dem	""	""	""	5136.253	7973.902	18912.297	99.63870	1	2	2	1	1	CV	CV	22	25	1	2	s2	1	CV	2	2	ce	"0-1-0"	/ce			665.4545455	-0.404387213	0.08
mais	mE	mɛ	mais	CON	ADV,CON	""	""	""	5100.756	5101.566	5101.864	99.48408	1	4	2	1	1	CVVC	CV	25	30	1	7	mE	1	CV	4	2	mais 2???	"0-1-0"	/mais			762.7826087	-0.170532229	0.08
qui	ki	ki	qui	PRO:rel	PRO:int,PRO:rel	""	""	""	5042.016	5186.142	5044.826	99.53460	1	3	2	1	1	CVV	CV	13	30	1	5	ki	1	CV	3	2	qui	"0-1-0"	/qui			683	0.044797395	0.12
a	a	a	avoir	VER	NOM,AUX,VER	m	s	par:pas:,ind:pre:3	4843.560	11684.443	13032.016	99.73362	0	1	1	1	1	V	V	25	37	2	9	a	1	V	1	1	""	"0-0-0"	""	93	16			
nous	nu	nu	nous	PRO:per	PRO:per,NOM	""	p	""	4773.285	4773.335	5105.804	98.84874	1	4	2	1.05	1	CVVC	CV	12	29	1	5	nu	1	CV	4	2	nous	"0-1-0"	/nous			660.7536232	-0.426096924	0.041666667
dans	d@	dɑ̃	dans	PRE	PRE	""	""	""	4720.829	4720.842	4721.560	99.54225	1	4	2	1	1	CVCC	CV	20	29	0	5	d@	1	CV	4	2	dans	"0-1-0"	/dans			666.9565217	-0.437922047	0.041666667
elle	El	ɛl	elle	PRO:per	PRO:per,NOM	f	s	""	4591.655	4591.756	5183.788	97.84905	1	4	2	1.55	1	VCCV	VC	2	22	1	7	El	1	VC	4	2	elle	"0-1-0"	/elle			640.3333333	-0.466209446	0
me	m°	mə	me	PRO:per	PRO:per,NOM	""	s	""	4466.684	4469.576	7999.585	99.19167	1	2	2	1	1.6	CV	CVV	19	45	1	1	m°	1	CV	2	3	me	"0-1-0"	/me			795.05	0.130159992	0.166666667
bien	bj5	bjɛ̃	bien	ADV	ADV,NOM,ADJ	""	""	""	4424.320	4533.272	4425.085	99.33252	1	4	3	1.4	1.35	CVVC	CYV	8	12	2	3	bj5	1	CYV	4	3	bien	"0-1-0"	/bien	100	12	692.7338129	-0.225434531	0.02739726
du	dy	dy	du	ART:def	ART:def,NOM	m	s	""	4123.684	4123.763	4124.427	99.50398	1	2	2	1	1	CV	CV	25	27	1	13	dy	1	CV	2	2	du	"0-1-0"	/du			684.4166667	-0.141087986	0.04
